root	source	requirement	installed_version	status
/Users/renatosocodato/thermocausality_mtce	requirements.txt	torchaudio	2.10.0	satisfied
/Users/renatosocodato/thermocausality_mtce	requirements.txt	scikit-learn>=1.3	1.8.0	satisfied
/Users/renatosocodato/thermocausality_mtce	requirements.txt	matplotlib>=3.7	3.10.8	satisfied
/Users/renatosocodato/thermocausality_mtce	requirements.txt	seaborn>=0.12	0.13.2	satisfied
/Users/renatosocodato/thermocausality_mtce	requirements.txt	plotly>=5.14	6.5.2	satisfied
/Users/renatosocodato/thermocausality_mtce	requirements.txt	sympy>=1.12	1.14.0	satisfied
/Users/renatosocodato/thermocausality_mtce	requirements.txt	h5py	3.15.1	satisfied
/Users/renatosocodato/thermocausality_mtce	requirements.txt	netCDF4	1.7.4	satisfied
/Users/renatosocodato/thermocausality_mtce	requirements.txt	xarray	2026.2.0	satisfied
/Users/renatosocodato/thermocausality_mtce	requirements.txt	sqlalchemy	2.0.46	satisfied
/Users/renatosocodato/thermocausality_mtce	requirements.txt	pytest	9.0.2	satisfied
/Users/renatosocodato/thermocausality_mtce	requirements.txt	black	26.1.0	satisfied
/Users/renatosocodato/thermocausality_mtce	requirements.txt	flake8	7.3.0	satisfied
/Users/renatosocodato/thermocausality_mtce	requirements.txt	mypy	1.19.1	satisfied
/Users/renatosocodato/thermocausality_mtce	requirements.txt	sphinx	9.1.0	satisfied
/Users/renatosocodato/thermocausality_mtce	requirements.txt	sphinx-rtd-theme	3.1.0	satisfied
/Users/renatosocodato/thermocausality_mtce	requirements.txt	deepxde>=1.9	1.15.0	satisfied
/Users/renatosocodato/thermocausality_mtce	requirements.txt	gpytorch>=1.11	1.15.1	satisfied
/Users/renatosocodato/thermocausality_mtce	requirements.txt	sbi>=0.22		missing
/Users/renatosocodato/thermocausality_mtce	requirements.txt	geomstats>=2.6	2.8.0	satisfied
/Users/renatosocodato/thermocausality_mtce	requirements.txt	gplearn>=0.4	0.4.3	satisfied
/Users/renatosocodato/thermocausality_mtce	requirements.txt	deap>=1.3	1.4.3	satisfied
/Users/renatosocodato/thermocausality_mtce	requirements.txt	pysindy>=1.7	2.1.0	satisfied
/Users/renatosocodato/thermocausality_mtce	requirements.txt	dowhy>=0.9		missing
/Users/renatosocodato/thermocausality_mtce	requirements.txt	pyyaml	6.0.3	satisfied
/Users/renatosocodato/thermocausality_mtce	requirements.txt	omegaconf	2.3.0	satisfied
/Users/renatosocodato/thermocausality_mtce	requirements.txt	tqdm	4.67.3	satisfied
/Users/renatosocodato/thermocausality_mtce	requirements.txt	wandb	0.25.0	satisfied
