root	source	requirement	installed_version	status
/Users/renatosocodato/thermocausality_mtce	requirements.txt	black		missing
/Users/renatosocodato/thermocausality_mtce	requirements.txt	flake8		missing
/Users/renatosocodato/thermocausality_mtce	requirements.txt	mypy		missing
/Users/renatosocodato/thermocausality_mtce	requirements.txt	sphinx		missing
/Users/renatosocodato/thermocausality_mtce	requirements.txt	sphinx-rtd-theme		missing
/Users/renatosocodato/thermocausality_mtce	requirements.txt	deepxde>=1.9		missing
/Users/renatosocodato/thermocausality_mtce	requirements.txt	gpytorch>=1.11		missing
/Users/renatosocodato/thermocausality_mtce	requirements.txt	sbi>=0.22		missing
/Users/renatosocodato/thermocausality_mtce	requirements.txt	geomstats>=2.6		missing
/Users/renatosocodato/thermocausality_mtce	requirements.txt	gplearn>=0.4		missing
/Users/renatosocodato/thermocausality_mtce	requirements.txt	deap>=1.3		missing
/Users/renatosocodato/thermocausality_mtce	requirements.txt	pysindy>=1.7		missing
/Users/renatosocodato/thermocausality_mtce	requirements.txt	dowhy>=0.9		missing
/Users/renatosocodato/thermocausality_mtce	requirements.txt	pyyaml		missing
/Users/renatosocodato/thermocausality_mtce	requirements.txt	omegaconf		missing
/Users/renatosocodato/thermocausality_mtce	requirements.txt	tqdm		missing
/Users/renatosocodato/thermocausality_mtce	requirements.txt	wandb		missing
