root	total_files	placeholder_files	real_files	placeholder_fraction
/Users/renatosocodato/Desktop/CDC42_microglia_paper	7752	0	7752	0.000000
/Users/renatosocodato/RNAseq-redox-cytoskel	4780	0	4780	0.000000
/Users/renatosocodato/thermocausality_mtce	9123	0	9123	0.000000
/Users/renatosocodato/cyto_kb	1826	111	1715	0.060789
/Users/renatosocodato/redox-secretome-axis	190	12	178	0.063158
/Users/renatosocodato/PFn1 5xFAD	2018	574	1444	0.284440
/Users/renatosocodato/cdc42_2p_fvsm_velocities	6881	0	6881	0.000000
/Users/renatosocodato/kb_microglia_nexus	268702	0	268702	0.000000
