root	replaced	already_real	unresolved_no_candidate	skipped_multicandidate	replace_failed	missing_path
/Users/renatosocodato/PFn1 5xFAD	5	11	528	30	0	0
/Users/renatosocodato/cyto_kb	4	1	104	2	0	0
/Users/renatosocodato/redox-secretome-axis	0	0	12	0	0	0
