placeholder_path	url	expected_basename	downloaded_basename	action
/Users/renatosocodato/PFn1 5xFAD/spatial_integration/data/individual_samples/GSE140511_samples/GSM4160647/GSM4160647_WT_Hip_matrix.mtx.gz	https://ftp.ncbi.nlm.nih.gov/geo/series/GSE140nnn/GSE140511/soft/GSE140511_family.soft.gz	GSM4160647_WT_Hip_matrix.mtx.gz	GSE140511_family.soft.gz	rolled_back_to_placeholder
/Users/renatosocodato/PFn1 5xFAD/spatial_integration/data/large_scrna/GSE140511/GSM4160643_WT_Cor_matrix.mtx.gz	https://ftp.ncbi.nlm.nih.gov/geo/series/GSE140nnn/GSE140511/soft/GSE140511_family.soft.gz	GSM4160643_WT_Cor_matrix.mtx.gz	GSE140511_family.soft.gz	rolled_back_to_placeholder
/Users/renatosocodato/PFn1 5xFAD/spatial_integration/data/large_scrna/GSE140511/GSM4160647_WT_Hip_matrix.mtx.gz	https://ftp.ncbi.nlm.nih.gov/geo/series/GSE140nnn/GSE140511/soft/GSE140511_family.soft.gz	GSM4160647_WT_Hip_matrix.mtx.gz	GSE140511_family.soft.gz	rolled_back_to_placeholder
/Users/renatosocodato/PFn1 5xFAD/spatial_integration/phase8/data/external/GSE157827/GSM4775575_NC11_barcodes.tsv.gz	https://ftp.ncbi.nlm.nih.gov/geo/series/GSE157nnn/GSE157827/soft/GSE157827_family.soft.gz	GSM4775575_NC11_barcodes.tsv.gz	GSE157827_family.soft.gz	rolled_back_to_placeholder
/Users/renatosocodato/PFn1 5xFAD/spatial_integration/phase8/data/external/GSE157827/GSM4775575_NC11_features.tsv.gz	https://ftp.ncbi.nlm.nih.gov/geo/series/GSE157nnn/GSE157827/soft/GSE157827_family.soft.gz	GSM4775575_NC11_features.tsv.gz	GSE157827_family.soft.gz	rolled_back_to_placeholder
/Users/renatosocodato/PFn1 5xFAD/spatial_integration/data/large_scrna/GSE140511/GSM4160643_WT_Cor_barcodes.tsv.gz	https://ftp.ncbi.nlm.nih.gov/geo/series/GSE140nnn/GSE140511/soft/GSE140511_family.soft.gz	GSM4160643_WT_Cor_barcodes.tsv.gz	GSE140511_family.soft.gz	rolled_back_to_placeholder
/Users/renatosocodato/PFn1 5xFAD/spatial_integration/data/individual_samples/GSE140511_samples/GSM4160644/GSM4160644_Trem2_KO_Cor_matrix.mtx.gz	https://ftp.ncbi.nlm.nih.gov/geo/series/GSE140nnn/GSE140511/soft/GSE140511_family.soft.gz	GSM4160644_Trem2_KO_Cor_matrix.mtx.gz	GSE140511_family.soft.gz	rolled_back_to_placeholder
/Users/renatosocodato/PFn1 5xFAD/spatial_integration/data/individual_samples/GSE140511_samples/GSM4160645/GSM4160645_WT_5XFAD_Cor_matrix.mtx.gz	https://ftp.ncbi.nlm.nih.gov/geo/series/GSE140nnn/GSE140511/soft/GSE140511_family.soft.gz	GSM4160645_WT_5XFAD_Cor_matrix.mtx.gz	GSE140511_family.soft.gz	rolled_back_to_placeholder
