root	placeholder_files	non_placeholder_files	root_missing
/Users/renatosocodato/Desktop/CDC42_microglia_paper	0	45310	0
/Users/renatosocodato/RNAseq-redox-cytoskel	0	19270	0
/Users/renatosocodato/thermocausality_mtce	0	119522	0
/Users/renatosocodato/cyto_kb	71	8920	0
/Users/renatosocodato/redox-secretome-axis	59	120	0
/Users/renatosocodato/PFn1 5xFAD	818	9509	0
/Users/renatosocodato/cdc42_2p_fvsm_velocities	0	44155	0
/Users/renatosocodato/kb_microglia_nexus	0	268803	0
