timestamp_utc	root	requirement	status	details_tail
2026-02-24T13:19:33Z	/Users/renatosocodato/thermocausality_mtce	sbi>=0.22	install_failed	 (from sbi>=0.22) |   Using cached scipy-1.12.0.tar.gz (56.8 MB) |   Installing build dependencies: started |   Installing build dependencies: finished with status 'done' |   Getting requirements to build wheel: started |   Getting requirements to build wheel: finished with status 'done' |   Installing backend dependencies: started |   Installing backend dependencies: finished with status 'done' |   Preparing metadata (pyproject.toml): started |   Preparing metadata (pyproject.toml): finished with status 'error' | 
2026-02-24T13:19:33Z	/Users/renatosocodato/thermocausality_mtce	dowhy>=0.9	install_failed	 Requires-Python >=3.8,<3.12; 0.10.1 Requires-Python >=3.8,<3.12; 0.11 Requires-Python >=3.8,<3.12; 0.11.1 Requires-Python >=3.8,<3.12; 0.12 Requires-Python >=3.8,<3.13; 0.13 Requires-Python >=3.8,<3.13; 0.14 Requires-Python >=3.9,<3.14; 0.9 Requires-Python >=3.8,<3.10; 0.9.1 Requires-Python >=3.8,<3.11 | ERROR: Could not find a version that satisfies the requirement dowhy>=0.9 (from versions: 0.1.1, 0.2, 0.4, 0.5, 0.5.1, 0.6, 0.7, 0.7.1, 0.8) | ERROR: No matching distribution found for dowhy>=0.9 |  | 
