root	placeholder_files	non_placeholder_files	root_missing
/Users/renatosocodato/Desktop/CDC42_microglia_paper	849	44476	0
/Users/renatosocodato/RNAseq-redox-cytoskel	97	19094	0
/Users/renatosocodato/thermocausality_mtce	696	118822	0
/Users/renatosocodato/cyto_kb	131	8848	0
/Users/renatosocodato/redox-secretome-axis	77	113	0
/Users/renatosocodato/PFn1 5xFAD	970	9357	0
/Users/renatosocodato/cdc42_2p_fvsm_velocities	343	43823	0
/Users/renatosocodato/kb_microglia_nexus	2	268801	0
